  
       XFOIL         Version 6.99
  
 Calculated polar for: NACA 4415                                       
  
 1 1 Reynolds number fixed          Mach number fixed         
  
 xtrf =   1.000 (top)        1.000 (bottom)  
 Mach =   0.196     Re =     4.809 e 6     Ncrit =   9.000
  
   alpha    CL        CD       CDp       CM     Top_Xtr  Bot_Xtr
  ------ -------- --------- --------- -------- -------- --------
  -5.000  -0.0950   0.00675   0.00178  -0.1044   0.6376   0.0501
  -4.000   0.0228   0.00656   0.00151  -0.1045   0.5904   0.0640
  -3.000   0.1407   0.00640   0.00131  -0.1047   0.5478   0.0855
  -2.000   0.2587   0.00631   0.00119  -0.1050   0.5102   0.1141
  -1.000   0.3766   0.00624   0.00115  -0.1054   0.4789   0.1550
   0.000   0.4948   0.00617   0.00117  -0.1059   0.4556   0.2098
   2.000   0.7298   0.00609   0.00141  -0.1068   0.4155   0.3870
   6.000   1.1781   0.00695   0.00303  -0.1047   0.2724   1.0000
   7.000   1.2775   0.00802   0.00381  -0.1017   0.2151   1.0000
   8.000   1.3695   0.00938   0.00485  -0.0976   0.1553   1.0000
   9.000   1.4474   0.01094   0.00615  -0.0908   0.1056   1.0000
  10.000   1.5191   0.01271   0.00775  -0.0833   0.0726   1.0000
  11.000   1.5882   0.01477   0.00972  -0.0763   0.0521   1.0000
  12.000   1.6524   0.01729   0.01222  -0.0693   0.0397   1.0000
  13.000   1.7088   0.02058   0.01552  -0.0625   0.0314   1.0000
  14.000   1.7574   0.02481   0.01982  -0.0562   0.0260   1.0000
  15.000   1.7946   0.03046   0.02557  -0.0504   0.0220   1.0000
  16.000   1.8226   0.03763   0.03289  -0.0458   0.0193   1.0000
  17.000   1.8373   0.04674   0.04217  -0.0424   0.0171   1.0000
  18.000   1.8338   0.05837   0.05401  -0.0402   0.0152   1.0000
  19.000   1.8246   0.07119   0.06706  -0.0395   0.0142   1.0000
  20.000   1.7945   0.08695   0.08306  -0.0405   0.0129   1.0000
